DATA|HORA|PONTO|VALOR
27/10/2020|11:40:23|2|0
27/10/2020|11:40:23|3|0
27/10/2020|11:40:23|4|0
27/10/2020|11:40:23|5|0
27/10/2020|11:40:23|6|32000
27/10/2020|11:40:23|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:24|0|1000
27/10/2020|11:40:24|1|0
27/10/2020|11:40:24|2|0
27/10/2020|11:40:24|3|0
27/10/2020|11:40:24|4|0
27/10/2020|11:40:24|5|0
27/10/2020|11:40:24|6|32000
27/10/2020|11:40:24|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:25|0|1000
27/10/2020|11:40:25|1|0
27/10/2020|11:40:25|2|0
27/10/2020|11:40:25|3|0
27/10/2020|11:40:25|4|0
27/10/2020|11:40:25|5|0
27/10/2020|11:40:25|6|32000
27/10/2020|11:40:25|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:26|0|1000
27/10/2020|11:40:26|1|0
27/10/2020|11:40:26|2|0
27/10/2020|11:40:26|3|0
27/10/2020|11:40:26|4|0
27/10/2020|11:40:26|5|0
27/10/2020|11:40:26|6|32000
27/10/2020|11:40:26|7|32000

