DATA|HORA|PONTO|VALOR
27/10/2020|11:32:45|5|0
27/10/2020|11:32:45|6|32000
27/10/2020|11:32:45|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:46|0|1000
27/10/2020|11:32:46|1|0
27/10/2020|11:32:46|2|0
27/10/2020|11:32:46|3|0
27/10/2020|11:32:46|4|0
27/10/2020|11:32:46|5|0
27/10/2020|11:32:46|6|32000
27/10/2020|11:32:46|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:47|0|1000
27/10/2020|11:32:47|1|0
27/10/2020|11:32:47|2|0
27/10/2020|11:32:47|3|0
27/10/2020|11:32:47|4|0
27/10/2020|11:32:47|5|0
27/10/2020|11:32:47|6|32000
27/10/2020|11:32:47|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:48|0|1000
27/10/2020|11:32:48|1|0
27/10/2020|11:32:48|2|0
27/10/2020|11:32:48|3|0
27/10/2020|11:32:48|4|0
27/10/2020|11:32:48|5|0
27/10/2020|11:32:48|6|32000
27/10/2020|11:32:48|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:49|0|1000
27/10/2020|11:32:49|1|0
27/10/2020|11:32:49|2|0
27/10/2020|11:32:49|3|0
27/10/2020|11:32:49|4|0
27/10/2020|11:32:49|5|0
27/10/2020|11:32:49|6|32000
27/10/2020|11:32:49|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:50|0|1000
27/10/2020|11:32:50|1|0
27/10/2020|11:32:50|2|0
27/10/2020|11:32:50|3|0
27/10/2020|11:32:50|4|0
27/10/2020|11:32:50|5|0
27/10/2020|11:32:50|6|32000
27/10/2020|11:32:50|7|32000

